User,Games,language
LOUD_Mii,"['Minecraft', 'Counter-Strike: Global Offensive', 'Just Chatting', 'Garena Free Fire', 'VALORANT']",Portuguese
LVNDMARK,"['Escape From Tarkov', 'Battlefield 2042', 'The Cycle: Frontier', 'Apex Legends', 'VALORANT']",English
Laink,"['Rocket League', 'Penumbra: Black Plague', 'theHunter: Call of the Wild', 'HITMAN 3', 'Hunt: Showdown']",French
LakshartNia,"['Minecraft', 'ARK: Survival Evolved', 'Grand Theft Auto V', 'Rust', 'Just Chatting']",Spanish
LanuSky,"['Minecraft', 'Among Us', 'Counter-Strike: Global Offensive', 'VALORANT', 'The Sims 4']",English
LeBouseuh,"['Rocket League', 'Just Chatting', 'Dofus', 'F1 2020', 'Minecraft']",French
Leynainu,"['ASMR', 'Pools, Hot Tubs, and Beaches', 'Just Chatting', 'World of Warcraft', 'Valheim']",English
Locklear,"['Just Chatting', 'Call of Duty: Warzone', 'Grounded', 'Grand Theft Auto V', 'Planet Coaster']",French
Loserfruit,"['Fortnite', 'Just Chatting', 'VALORANT', 'Rocket League', 'Pokémon Unite']",English
LuluLuvely,"['Apex Legends', 'Rust', 'Overwatch', 'Call of Duty: Warzone', 'VALORANT']",English
Luzu,"['Minecraft', 'Just Chatting', 'Grand Theft Auto V', 'Resident Evil Village', '60 Seconds! Reatomized']",Spanish
Maghla,"['Just Chatting', 'Valheim', 'Outer Wilds', 'Art', 'Subnautica: Below Zero']",French
Markiplier,"['Just Chatting', 'The Forest', 'Call of Duty: Black Ops Cold War', 'Voidtrain', 'Haunt Chaser']",English
Masayoshi,"['VALORANT', 'Rust', 'Just Chatting', 'Minecraft', 'Apex Legends']",English
Maya,"['Just Chatting', 'Music', 'Knockout City', 'It Takes Two', 'Counter-Strike: Global Offensive']",English
Mayichi,"['ARK: Survival Evolved', 'Just Chatting', 'Minecraft', 'Rust', 'Grand Theft Auto V']",Spanish
Meikodboy_,"['Grand Theft Auto V', 'Just Chatting', 'Call of Duty: Black Ops Cold War', 'FIFA 22', 'FIFA 21']",Portuguese
MenosTrece,"['Escape From Tarkov', 'Dead by Daylight', 'Rust', 'Grand Theft Auto V', 'Valheim']",Spanish
Mickalow,"['Apex Legends', 'VALORANT', ""Tom Clancy's Rainbow Six Siege"", 'Just Chatting', 'Rocket League']",French
MissaSinfonia,"['Just Chatting', 'Rust', 'Roblox', 'Call of Duty: Warzone', 'Special Events']",Spanish
Mizkif,"['Just Chatting', 'Super Mario 64', 'League of Legends', 'Rust', 'Jump King']",English
MoMaN,"['Grand Theft Auto V', 'VALORANT', 'New World', 'Valheim', ""PLAYERUNKNOWN'S BATTLEGROUNDS""]",French
Mongraal,"['Fortnite', 'Just Chatting', 'KovaaK 2.0', ""KovaaK's FPS Aim Trainer"", 'Naraka: Bladepoint']",English
MrSavage,"['Fortnite', 'Knockout City', 'Rust', 'fifa 22']",English
Mushway,"['Fortnite', 'Just Chatting', 'Slots', 'VALORANT', 'FIFA 22']",French
Myth,"['VALORANT', 'Rust', 'Call of Duty: Warzone', 'Apex Legends', 'Just Chatting']",English
NICKMERCS,"['Call of Duty: Warzone', 'Apex Legends', 'Fortnite', 'Fitness & Health', 'Sports']",English
NOBRU,"['Garena Free Fire', 'Just Chatting', 'Grand Theft Auto V', 'Call of Duty: Warzone', 'Fall Guys: Ultimate Knockout']",Portuguese
