Source,Target,Weight,Type,Source Top Game,Target Top Game,Source Language,Target Language
qcnb123,lck_korea,20.0,Directed,League of Legends,League of Legends,Korean,Korean
qcnb123,magenta62,22.0,Directed,League of Legends,Just Chatting,Korean,Korean
qcnb123,obm1025,30.0,Directed,League of Legends,Just Chatting,Korean,Korean
qcnb123,slemf4062,9.0,Directed,League of Legends,League of Legends,Korean,Korean
qcnb123,tmxk319,9.0,Directed,League of Legends,League of Legends,Korean,Korean
baalzebb,agueppo,25.0,Directed,League of Legends,Just Chatting,Korean,Korean
baalzebb,byeongbyeongbyeong,31.0,Directed,League of Legends,Just Chatting,Korean,Korean
baalzebb,faker,33.0,Directed,League of Legends,League of Legends,Korean,Korean
baalzebb,gongparipa,14.0,Directed,League of Legends,Just Chatting,Korean,Korean
baalzebb,hm716,74.0,Directed,League of Legends,League of Legends,Korean,Korean
baalzebb,jaewon4915,40.0,Directed,League of Legends,Just Chatting,Korean,Korean
baalzebb,lck_korea,56.0,Directed,League of Legends,League of Legends,Korean,Korean
baalzebb,liok0485,54.0,Directed,League of Legends,League of Legends,Korean,Korean
baalzebb,paka9999,29.0,Directed,League of Legends,League of Legends,Korean,Korean
baalzebb,qcnb123,20.0,Directed,League of Legends,League of Legends,Korean,Korean
baalzebb,ringkyu1123,13.0,Directed,League of Legends,League of Legends,Korean,Korean
baalzebb,rkdwl12,33.0,Directed,League of Legends,Just Chatting,Korean,Korean
baalzebb,tmxk319,36.0,Directed,League of Legends,League of Legends,Korean,Korean
baalzebb,volibear_oyo,28.0,Directed,League of Legends,Just Chatting,Korean,Korean
baalzebb,wkgml,30.0,Directed,League of Legends,Just Chatting,Korean,Korean
baalzebb,wnsldj0610,29.0,Directed,League of Legends,League of Legends,Korean,Korean
agueppo,2chamcham2,38.0,Directed,Just Chatting,League of Legends,Korean,Korean
agueppo,ailee_official,47.0,Directed,Just Chatting,PLAYERUNKNOWN'S BATTLEGROUNDS,Korean,Korean
agueppo,ao_o5,28.0,Directed,Just Chatting,Just Chatting,Korean,Korean
agueppo,bgirl_0,17.0,Directed,Just Chatting,Just Chatting,Korean,Korean
agueppo,cherrypach,21.0,Directed,Just Chatting,Just Chatting,Korean,Korean
agueppo,dkwl025,9.0,Directed,Just Chatting,Just Chatting,Korean,Korean
agueppo,gongparipa,9.0,Directed,Just Chatting,Just Chatting,Korean,Korean
agueppo,ju10506,13.0,Directed,Just Chatting,Just Chatting,Korean,Korean
agueppo,kuiki771,21.0,Directed,Just Chatting,Just Chatting,Korean,Korean
agueppo,kumikomii,36.0,Directed,Just Chatting,Just Chatting,Korean,Korean
agueppo,ma_mwa,15.0,Directed,Just Chatting,Just Chatting,Korean,Korean
agueppo,magenta62,17.0,Directed,Just Chatting,Just Chatting,Korean,Korean
agueppo,mmange2,5.0,Directed,Just Chatting,Just Chatting,Korean,Korean
agueppo,nanayango3o,6.0,Directed,Just Chatting,Just Chatting,Korean,Korean
agueppo,obm1025,11.0,Directed,Just Chatting,Just Chatting,Korean,Korean
agueppo,pjs9073,15.0,Directed,Just Chatting,LOST ARK,Korean,Korean
agueppo,rkdwl12,5.0,Directed,Just Chatting,Just Chatting,Korean,Korean
agueppo,rngudwnswkd,11.0,Directed,Just Chatting,League of Legends,Korean,Korean
